RUO (UFMS) — MASTER TASK MATRIX														
University Facilities Management System — Agile/Scrum Breakdown			TIẾN ĐỘ HOÀN THÀNH			ĐỘ ƯU TIÊN (MUST / SHOULD)			PHÂN PHỐI ROLE PHỤ TRÁCH			NHÂN SỰ THỰC HIỆN (SIGN)		
Equipment Borrowing	Phase 3	UC-2.5: Request Borrow Gear	As a lecturer, I want to borrow portable equipment	Lecturer	Nguyên	Must	In Progress		FE/BE	M	UC-2.4	Chọn thiết bị, ngày mượn, ngày trả (<=7 ngày), mục đích; check không có nợ quá hạn; status PENDING	POST /api/equipments/borrow	Collection borrow_requests
Equipment Borrowing	Phase 3	UC-2.6: Extend Borrowing	As a lecturer, I want to extend borrow duration	Lecturer	Nguyên	Should	In Progress		FE/BE	M	UC-2.5	Gia hạn tối đa 1 lần thêm <= 7 ngày; kiểm tra chưa có ai đặt tiếp mới cho phép; chờ duyệt CSVC	PUT /api/equipments/borrow/:id/extend	Extension validation
Equipment Borrowing	Phase 3	UC-2.7: Return Equipment	As a lecturer, I want to return borrowed gear	Lecturer, Staff	Nguyên	Must	In Progress		FE/BE	M	UC-2.5	Bàn giao thiết bị tại phòng CSVC; nhân viên kiểm tra; nếu hỏng tự động tạo ticket bảo trì và ghi biên bản	PUT /api/equipments/borrow/:id/return	Handover condition
Equipment Borrowing	Phase 3	UC-2.8: Borrowing History	As a lecturer, I want to view my borrow history	Lecturer	Nguyên	Should	In Progress		FE/BE	S	UC-2.5	Xem lịch sử mượn/trả thiết bị, ngày nhận, ngày trả thực tế, trạng thái, ghi chú bàn giao	GET /api/equipments/borrow/history	User history
Escalation Engine	Phase 4	UC-3.14: Approval Queue	As facility staff, I want to view pending requests	Facility Staff, Admin	Quang	Must	In Progress		FE/BE	M	none	Dashboard hiển thị đơn chờ duyệt; phân loại: đặt phòng / mượn máy; sắp xếp ưu tiên GV > SV, độ khẩn cấp	GET /api/bookings/pending	Priority Queue
Escalation Engine	Phase 4	UC-3.15: Approve/Reject Room	As facility staff, I want to approve room bookings	Facility Staff	Quang	Must	In Progress		FE/BE	M	UC-3.14	Thẩm định đơn mượn; Approve: khóa slot, sinh QR, gửi mail; Reject: nhập lý do; Escalate: chuyển BGH	PUT /api/bookings/:id/approval	Race-condition safe
Escalation Engine	Phase 4	UC-3.16: Approve Equipment	As facility staff, I want to approve gear borrow	Facility Staff	Quang	Must	In Progress		FE/BE	M	UC-3.14	Kiểm tra thiết bị sẵn sàng trong kho; Approve: chuyển RESERVED; Reject: nêu rõ lý do	PUT /api/equipments/borrow/:id/approval	Asset reservation
Escalation Engine	Phase 4	UC-3.17: Batch Approval	As facility staff, I want to batch approve requests	Facility Staff	Quang	Should	In Progress		FE/BE	M	UC-3.14	Chọn nhiều đơn hợp lệ duyệt đồng loạt; kiểm tra race condition từng đơn; trả về kết quả X/Y thành công	POST /api/bookings/batch-approval	Atomic batch
Escalation Engine	Phase 4	4-Rule Escalation Evaluator	As system, I want to auto-escalate high-impact requests	System	Quang	Must	In Progress		BE	M	none	Tự động kích hoạt chuyển cấp P. Đào Tạo: (1) Trùng chính khóa, (2) >= 3 phòng, (3) Sau 21h/cuối tuần, (4) Máy > 50tr	middleware/escalationEvaluator.js	4 quantitative rules
Escalation Engine	Phase 4	UC-5.6: Escalated Queue View	As academic officer, I want to review escalated cases	Academic Affairs	Quang	Must	In Progress		FE/BE	M	none	Giao diện riêng tiếp nhận đơn vượt thẩm quyền do CSVC chuyển lên kèm lý do giải trình chi tiết	GET /api/academic/escalated	High-level queue
Escalation Engine	Phase 4	UC-5.7: Approve Escalated Case	As academic officer, I want to decide escalated case	Academic Affairs	Quang	Must	In Progress		FE/BE	M	UC-5.6	Phê duyệt đơn đặc biệt (hội thảo đột xuất, sự kiện trường); kích hoạt kế hoạch bù trừ tự động	PUT /api/academic/escalated/:id	Dean decision
Escalation Engine	Phase 4	UC-5.8: Mid-term Compensation	As academic officer, I want to auto-compensate classes	Academic Affairs	Quang	Must	In Progress		FE/BE	L	UC-5.7	Kế hoạch bù trừ: Phương án A (Tìm phòng trống đổi tự động) / Phương án B (Tích hợp link Teams/Zoom học online)	Compensation Service	Multi-channel alert
Kanban SLA Reactor	Phase 4	UC-1.15: Report Incident	As a user, I want to report a broken facility	Student, Lecturer, Staff	Quang	Must	In Progress		FE/BE	M	none	Chọn phòng/máy, loại sự cố, mô tả, tối đa 5 ảnh (<=5MB), độ khẩn cấp (Low/Med/High/Critical); sinh ticket	POST /api/incidents	Collection tickets
Kanban SLA Reactor	Phase 4	UC-1.16: Incident Timeline	As a user, I want to track incident progress	Student, Lecturer, Staff	Quang	Must	In Progress		FE	S	UC-1.15	Dòng thời gian trực quan: Open -> Assigned -> In Progress -> Resolved -> Closed	React Incident Timeline	Visual status stepper
Kanban SLA Reactor	Phase 4	UC-1.17: Incident Comments	As a user, I want to add info to my reported ticket	Student, Lecturer, Staff	Quang	Should	In Progress		FE/BE	S	UC-1.15	Thêm comment/ảnh bổ sung khi ticket chưa CLOSED; trao đổi 2 chiều giữa người báo và kỹ thuật viên	POST /api/incidents/:id/comments	Two-way chat
Kanban SLA Reactor	Phase 4	UC-1.18: Double Confirmation	As a user, I want to evaluate resolved repair work	Student, Lecturer	Quang	Must	In Progress		FE/BE	M	UC-1.15	Sau khi sửa xong: người báo đánh giá 1-5 sao và xác nhận đóng ticket; nếu chưa đạt bấm làm lại; auto-close 48h	PUT /api/incidents/:id/confirm	Double confirmation
Kanban SLA Reactor	Phase 4	UC-3.18: Master Ticket List	As facility staff, I want to see all university tickets	Facility Staff, Admin	Quang	Must	In Progress		FE/BE	M	none	Tổng hợp ticket toàn trường; lọc trạng thái, khẩn cấp, vị trí, nhân viên; sắp xếp theo hạn định SLA	GET /api/incidents/kanban	SLA matrix sorting
Kanban SLA Reactor	Phase 4	UC-3.19: Dispatch Technician	As facility staff, I want to assign ticket to technician	Facility Staff	Quang	Must	In Progress		FE/BE	M	UC-3.18	Giao việc cho thợ điện/máy lạnh/máy tính; hiển thị workload số ticket đang nhận để tránh quá tải; reassign	PUT /api/incidents/:id/assign	Workload balancing
Kanban SLA Reactor	Phase 4	UC-3.20: Business Hours SLA	As system, I want to calculate SLA countdown clock	System	Quang	Must	In Progress		BE	L	none	Tính giờ hành chính 07:30 - 17:00 ngày làm việc (đóng băng đêm/cuối tuần); Critical chạy 24/7 (<=4h); 3 cấp cảnh báo	services/slaReactor.js	Early Warning Matrix
Kanban SLA Reactor	Phase 4	UC-3.21: Close Ticket Audit	As facility staff, I want to verify & close ticket	Facility Staff	Quang	Must	In Progress		FE/BE	S	UC-3.18	Kiểm tra chi phí vật tư thay thế, xác nhận đóng ticket (CLOSED), đưa phòng/thiết bị về AVAILABLE	PUT /api/incidents/:id/close	Ticket closing
Maintenance Ops	Phase 4	UC-4.1: Technician Inbox	As technician, I want to see my assigned tickets	Maintenance Staff	Quang	Must	In Progress		FE/BE	M	none	Giao diện mobile/tablet cho thợ kỹ thuật; lọc trạng thái; đếm ngược SLA; badge đỏ cảnh báo quá hạn	GET /api/maintenance/my-tickets	Mobile responsive
Maintenance Ops	Phase 4	UC-4.2: Accept Ticket	As technician, I want to start working on a ticket	Maintenance Staff	Quang	Must	In Progress		FE/BE	S	UC-4.1	Xác nhận tiếp nhận; chuyển status ASSIGNED -> IN_PROGRESS; bắt đầu bấm giờ thực tế; gửi thông báo	PUT /api/incidents/:id/accept	Timer start
Maintenance Ops	Phase 4	UC-4.3: Progress & Parts Req	As technician, I want to log progress and request parts	Maintenance Staff	Quang	Should	In Progress		FE/BE	M	UC-4.1	Ghi chú hiện trường, ảnh trước/sau sửa, % hoàn thành; lập phiếu yêu cầu xuất kho linh kiện thay thế	PUT /api/incidents/:id/progress	Spare parts request
Maintenance Ops	Phase 4	UC-4.4: Complete Repair	As technician, I want to mark repair as resolved	Maintenance Staff	Quang	Must	In Progress		FE/BE	M	UC-4.1	Báo cáo nghiệm thu kỹ thuật, vật tư đã dùng, chi phí nhân công, ảnh máy chạy tốt, chuyển RESOLVED	PUT /api/incidents/:id/resolve	Cost aggregation
Maintenance Ops	Phase 4	UC-4.5: Return/Reject Ticket	As technician, I want to return ticket if outside skill	Maintenance Staff	Quang	Should	In Progress		FE/BE	S	UC-4.1	Trả lại ticket kèm lý do (thiếu đồ nghề đặc thù, sai mô tả, cần thuê ngoài) để quản lý điều phối lại	PUT /api/incidents/:id/return	Re-dispatch
Maintenance Ops	Phase 4	5-Step RACI Disposal Flow	As council, we want to execute 5-step disposal	Staff, Tech, BGH	Quang	Must	In Progress		FE/BE	L	UC-4.9	B1 (Tech: R), B2 (CSVC: A), B3 (Hội đồng/BGH: A duyệt), B4 (Dự trù mua sắm: C), B5 (Thủ kho nhập mới: I)	PUT /api/disposals/:id/step	RACI state machine
Maintenance Ops	Phase 4	UC-4.10: Room Maintenance History	As maintenance staff, I want to inspect room maintenance history	Maintenance Staff, Staff	Nguyên	Should	In Progress		FE/BE	M	UC-3.3	Hiển thị dòng thời gian các đợt sửa chữa điện nước, điều hòa, bảo dưỡng định kỳ của phòng; tổng hợp chi phí vật tư	GET /api/facilities/rooms/:code/maintenance-history	Room telemetry timeline
Maintenance Ops	Phase 4	UC-4.11: Asset Maintenance History & MTBF	As maintenance staff, I want to inspect equipment repair history	Maintenance Staff, Staff	Nguyên	Should	In Progress		FE/BE	M	UC-3.9	Thống kê số lần phát sinh sự cố, tổng chi phí sửa lũy kế, tính toán chỉ số R và dự báo tuổi thọ còn lại của máy	GET /api/equipments/:id/maintenance-history	Asset health timeline
Preventive Maint.	Phase 4	UC-4.6: Preventive Calendar	As technician, I want to view planned maintenance	Maintenance Staff, Staff	Quang	Should	In Progress		FE/BE	M	none	Lịch bảo dưỡng điện lạnh, kiểm định máy chiếu, an toàn điện; cảnh báo trước 3 ngày trước khi đến hạn	GET /api/maintenance/plans	Collection maintenance_plans
Preventive Maint.	Phase 4	UC-4.7: Create Maint. Plan	As facility staff, I want to create maintenance plan	Facility Staff, Tech	Quang	Should	In Progress		FE/BE	M	UC-4.6	Chọn nhóm phòng/thiết bị, chu kỳ (tháng/quý/năm), checklist kỹ thuật; đối chiếu không trùng lịch học	POST /api/maintenance/plans	Checklist generator
Preventive Maint.	Phase 4	UC-4.8: Log Maint. Result	As technician, I want to log maintenance checklist	Maintenance Staff	Quang	Should	In Progress		FE/BE	M	UC-4.6	Tick từng mục checklist, đánh giá Tốt / Cần theo dõi / Nguy cơ hỏng; nếu hỏng nặng tự tạo ticket sửa	PUT /api/maintenance/plans/:id/log	Inspection log
Asset Disposal	Phase 4	UC-4.9: Disposal Proposal	As technician, I want to propose disposal if R >= 60%	Maintenance Staff, Staff	Quang	Must	In Progress		FE/BE	L	none	Khảo sát máy hỏng nặng, tính tỷ lệ R = (chi phí sửa / giá trị còn lại) * 100; nếu R >= 60% lập hồ sơ thanh lý	POST /api/disposals	Collection asset_disposals
Academic CSP	Phase 4	UC-5.1: Import Semester TKB	As academic officer, I want to import semester courses	Academic Affairs	Uyên	Must	In Progress		FE/BE	M	none	Upload Excel/CSV chứa mã LHP, môn, GV, sĩ số, số tiết, loại phòng; kiểm tra cú pháp, phát hiện trùng lặp	POST /api/academic/import-courses	Excel parsing
Academic CSP	Phase 4	UC-5.2: CSP Auto Allocation	As academic officer, I want to auto-schedule classes	Academic Affairs	Uyên	Must	In Progress		BE	L	UC-5.1	Thuật toán Backtracking + MRV/Degree Heuristic + LCV (hàm phạt lãng phí ghế + gom cụm tòa nhà khoa)	POST /api/academic/csp/solve	0 Conflict guarantee
Academic CSP	Phase 4	UC-5.3: Manual Drag & Drop	As academic officer, I want to fine-tune schedule	Academic Affairs	Uyên	Must	In Progress		FE	L	UC-5.2	Giao diện kéo thả lớp vào ô lịch; highlight cảnh báo đỏ tức thì nếu thả vào ô trùng lịch hoặc thiếu ghế	DragDrop Timetable Grid	Real-time conflict warn
Academic CSP	Phase 4	UC-5.4: Export Timetable	As academic officer, I want to export master schedule	Academic Affairs	Uyên	Should	In Progress		FE/BE	M	UC-5.2	Xem theo phòng, GV, khoa; xuất file Excel hoặc PDF bản in chính thức có logo trường	GET /api/academic/export-timetable	ExcelJS / PDFKit
Academic CSP	Phase 4	UC-5.5: Freeze Schedule	As academic officer, I want to lock master schedule	Academic Affairs	Uyên	Must	In Progress		FE/BE	S	UC-5.2	Đóng băng lịch toàn trường sau khi xếp xong; khóa cứng slot chính khóa, cấm SV/GV đặt đè; chỉ Đào tạo mở	PUT /api/academic/semesters/:code/freeze	Schedule freeze
Exam Allocation	Phase 4	UC-5.9: Exam Room Allocation	As academic officer, I want to allocate exam rooms	Academic Affairs	Uyên	Must	In Progress		FE/BE	L	none	Chia đôi sĩ số phòng ngồi giãn cách; >= 2 giám thị/phòng; SV cùng lớp không cùng phòng trắc nghiệm; giãn cách 30p	POST /api/academic/exams/allocate	Exam constraints
Analytics & BI	Phase 5	UC-5.10: Department Usage	As manager, I want to compare room usage by faculty	Academic Affairs, BGH	Uyên	Should	In Progress		FE/BE	M	none	Báo cáo số giờ giảng dạy, tỷ lệ tận dụng phòng Lab chuyên ngành của từng khoa để phân bổ ngân sách	GET /api/reports/faculty-usage	Faculty comparison
Analytics & BI	Phase 5	UC-3.22: Room Heatmap Report	As facility staff, I want to see room utilization heatmap	Facility Staff, Admin	Uyên	Must	In Progress		FE/BE	M	none	Biểu đồ nhiệt theo giờ trong tuần (07:00 - 21:00), biểu đồ cột theo tòa nhà, xếp hạng phòng mượn nhiều nhất	GET /api/reports/room-heatmap	Recharts Heatmap
Analytics & BI	Phase 5	UC-3.23: Asset Status Report	As facility staff, I want to see asset health report	Facility Staff, Admin	Uyên	Should	In Progress		FE/BE	S	none	Tỷ lệ thiết bị theo trạng thái hoạt động, danh sách thiết bị sắp hết bảo hành, nhóm máy hay hỏng nhất	GET /api/reports/asset-health	Pie / Bar charts
Analytics & BI	Phase 5	UC-3.24: SLA & MTTR Report	As facility staff, I want to evaluate maintenance SLA	Facility Staff, Admin	Uyên	Must	In Progress		FE/BE	M	none	Thống kê số ticket theo tháng, thời gian xử lý trung bình MTTR, tỷ lệ hoàn thành đúng hạn SLA, sao đánh giá	GET /api/reports/sla-performance	MTTR calculation
Analytics & BI	Phase 5	UC-3.25: PDF/Excel Exporter	As facility staff, I want to export official reports	Facility Staff, Admin	Uyên	Must	In Progress		FE/BE	M	none	Xuất báo cáo PDF/Excel chuẩn in ấn có tiêu đề trường, logo, timestamp, chữ ký duyệt phục vụ văn thư	GET /api/reports/export	PDFKit / ExcelJS
Notifications	Phase 5	UC-1.19: In-app Notification	As a user, I want to receive real-time notifications	Student, Lecturer, Staff	Uyên	Must	In Progress		FE/BE	M	none	Trung tâm thông báo: duyệt đơn, sự cố cập nhật, nhắc nhở check-in trước 10 phút, cúp điện khẩn cấp; badge đỏ	GET /api/notifications	Real-time badge
Notifications	Phase 5	UC-1.20: Mark Notifications	As a user, I want to mark notifications as read	Student, Lecturer, Staff	Uyên	Should	In Progress		FE/BE	S	UC-1.19	Đánh dấu 1 hoặc tất cả thông báo đã đọc, cập nhật số lượng badge chưa đọc trên thanh điều hướng	PUT /api/notifications/read	Read state sync
External Integration	Phase 5	UC-7.1: SIS Sync Webhook	As system, I want to sync timetable with SIS	External System, Admin	Uyên	Should	In Progress		BE	M	none	RESTful Webhook nhận dữ liệu lịch học tập trung từ hệ thống SIS (~100 lớp học phần), tự động thêm/sửa/hủy	POST /api/external/sis-sync	Webhook receiver
