STT	Phân hệ	Chi tiết chức năng
14	Quản lý Không gian & CAD	UC-1.8: Room CAD Card — Hiển thị mã phòng, tên, loại phòng, sức chứa, nhiệt độ IoT, công suất điện (kW), trạng thái thời gian thực
15	Quản lý Không gian & CAD	UC-1.9: Calendar Grid View — Grid tuần/tháng phân biệt 4 mã màu: Xanh (Chính khóa), Cam (Đã duyệt), Đỏ (Bảo trì), Trắng (Trống)
16	Quản lý Không gian & CAD	CAD Mặt Bằng Tầng 2.5D — Hiển thị 6 pods phòng học mặt bằng Tầng 3 Tòa A1, hành lang trung tâm, time-travel scrubber (07:00-21:00)
17	Quản lý Kho & Thiết bị QR	UC-3.7: Create Equipment — Nhập mã tài sản (unique), mã QR bất biến, serial, tên, loại, hãng, nguyên giá, ngày mua, hạn BH, vị trí
18	Quản lý Kho & Thiết bị QR	UC-3.8: Equipment Directory — Lọc theo chủng loại, trạng thái (AVAILABLE/BORROWED/MAINTENANCE/DISPOSED), vị trí, khoảng giá trị
19	Quản lý Kho & Thiết bị QR	UC-3.9: Equipment Detail — Thông số kỹ thuật, lịch sử điều chuyển vị trí, lịch sử sửa chữa, người đang mượn, tỷ lệ khấu hao
20	Quản lý Kho & Thiết bị QR	UC-3.10: Update Asset Info — Cập nhật thông số kỹ thuật; nếu đổi vị trí phòng thì tự động ghi nhật ký điều chuyển (Movement Log)
21	Quản lý Kho & Thiết bị QR	UC-3.11: Asset Disposal Decision — Chuyển trạng thái DISPOSED; ghi nhận số quyết định thanh lý, lý do, ngày hoàn tất, giá trị thu hồi; cấm thanh lý máy đang BORROWED
22	Quản lý Kho & Thiết bị QR	UC-3.12: Inventory Audit — Khởi tạo đợt kiểm kê theo phòng/tòa nhà; quét QR đối soát thực tế: Khớp, Thất lạc, Hỏng, Sai vị trí; xuất PDF
23	Quản lý Kho & Thiết bị QR	UC-3.13: Assign to Room — Chuyển thiết bị từ kho vào phòng học hoặc giữa các phòng; kiểm tra thiết bị ở trạng thái AVAILABLE
24	Quản lý Kho & Thiết bị QR	UC-2.4: Search Mobile Gear — Tìm máy chiếu cơ động, laptop, mic không dây, thiết bị đo kiểm; lọc theo khung ngày mượn
25	Quản lý Kho & Thiết bị QR	QR Code Generator & Scan — Quét mã QR ra thông tin tài sản, vị trí, nguyên giá, tra cứu nhanh lịch sử sửa chữa
26	Đặt Phòng & Lịch biểu	UC-1.7: Smart Room Search — Lọc ngày, giờ, sức chứa, loại phòng, tòa nhà; tự động loại trừ phòng có lớp chính khóa/đã đặt/bảo trì
27	Đặt Phòng & Lịch biểu	UC-1.10: Single Room Booking — Chọn phòng, ngày, giờ, mục đích, số người; check trùng giờ nguyên tử (409 Conflict); giới hạn 2 phòng/ngày
28	Đặt Phòng & Lịch biểu	UC-1.11: Edit Booking Request — Chỉ sửa khi PENDING hoặc APPROVED (còn >24h); re-validate trùng lịch; nếu Approved thì chuyển về Pending
29	Đặt Phòng & Lịch biểu	UC-1.12: Cancel Booking — Hủy đơn; nếu hủy khi đã Approved trong < 2h trước giờ dùng thì ghi nhận vi phạm "Late Cancellation"
30	Đặt Phòng & Lịch biểu	UC-1.13: Booking History — Danh sách booking cá nhân; filter: pending, approved, rejected, completed, no_show; phân trang
31	Đặt Phòng & Lịch biểu	UC-1.14: QR Room Check-in — Quét mã QR trước cửa phòng trong 15 phút đầu; nếu quá 15 phút tự động hủy NO_SHOW và trừ 10 điểm uy tín
32	Đặt Phòng & Lịch biểu	Background No-Show Sweeper — Cron-job chạy mỗi 60s; tìm booking quá hạn 15m; đổi status sang no_show, giải phóng phòng, phạt repute
33	Đặt Phòng & Lịch biểu	UC-2.1: Booking Series — Chọn phòng, thứ, giờ, tần suất (tuần/2 tuần), từ tuần X đến Y; tự sinh instances, check conflict từng buổi
34	Đặt Phòng & Lịch biểu	UC-2.2: Edit Booking Series — Hỗ trợ 2 chế độ: (1) Sửa 1 buổi đơn lẻ (tạo booking_exception), (2) Sửa buổi này và các buổi sau
35	Đặt Phòng & Lịch biểu	UC-2.3: Cancel Series — Hủy toàn bộ series hoặc 1 buổi lẻ; tự động giải phóng toàn bộ các slot phòng trong tương lai
36	Đặt Phòng & Lịch biểu	UC-2.0: Lecturer Overrides — Đặt tối đa 5 phòng/ngày (SV là 2); đặt trước 4 tuần (SV là 2); miễn phạt Late Cancel; check-in 30 phút
37	Mượn Trả Thiết Bị	UC-2.5: Request Borrow Gear — Chọn thiết bị, ngày mượn, ngày trả (<=7 ngày), mục đích; check không có nợ quá hạn; status PENDING
38	Mượn Trả Thiết Bị	UC-2.6: Extend Borrowing — Gia hạn tối đa 1 lần thêm <= 7 ngày; kiểm tra chưa có ai đặt tiếp mới cho phép; chờ duyệt CSVC
39	Mượn Trả Thiết Bị	UC-2.7: Return Equipment — Bàn giao thiết bị tại phòng CSVC; nhân viên kiểm tra; nếu hỏng tự động tạo ticket bảo trì và ghi biên bản
40	Mượn Trả Thiết Bị	UC-2.8: Borrowing History — Xem lịch sử mượn/trả thiết bị, ngày nhận, ngày trả thực tế, trạng thái, ghi chú bàn giao
41	Phê Duyệt & Chuyển Cấp	UC-3.14: Approval Queue — Dashboard hiển thị đơn chờ duyệt; phân loại: đặt phòng / mượn máy; sắp xếp ưu tiên GV > SV, độ khẩn cấp
42	Phê Duyệt & Chuyển Cấp	UC-3.15: Approve/Reject Room — Thẩm định đơn mượn; Approve: khóa slot, sinh QR, gửi mail; Reject: nhập lý do; Escalate: chuyển BGH
43	Phê Duyệt & Chuyển Cấp	UC-3.16: Approve Equipment — Kiểm tra thiết bị sẵn sàng trong kho; Approve: chuyển RESERVED; Reject: nêu rõ lý do
44	Phê Duyệt & Chuyển Cấp	UC-3.17: Batch Approval — Chọn nhiều đơn hợp lệ duyệt đồng loạt; kiểm tra race condition từng đơn; trả về kết quả X/Y thành công
45	Phê Duyệt & Chuyển Cấp	4-Rule Escalation Evaluator — Tự động kích hoạt chuyển cấp P. Đào Tạo: (1) Trùng chính khóa, (2) >= 3 phòng, (3) Sau 21h/cuối tuần, (4) Máy > 50tr
46	Phê Duyệt & Chuyển Cấp	UC-5.6: Escalated Queue View — Giao diện riêng tiếp nhận đơn vượt thẩm quyền do CSVC chuyển lên kèm lý do giải trình chi tiết
47	Phê Duyệt & Chuyển Cấp	UC-5.7: Approve Escalated Case — Phê duyệt đơn đặc biệt (hội thảo đột xuất, sự kiện trường); kích hoạt kế hoạch bù trừ tự động
48	Phê Duyệt & Chuyển Cấp	UC-5.8: Mid-term Compensation — Kế hoạch bù trừ: Phương án A (Tìm phòng trống đổi tự động) / Phương án B (Tích hợp link Teams/Zoom học online)
49	Sự Cố & Kanban SLA	UC-1.15: Report Incident — Chọn phòng/máy, loại sự cố, mô tả, tối đa 5 ảnh (<=5MB), độ khẩn cấp (Low/Med/High/Critical); sinh ticket
50	Sự Cố & Kanban SLA	UC-1.16: Incident Timeline — Dòng thời gian trực quan: Open -> Assigned -> In Progress -> Resolved -> Closed
51	Sự Cố & Kanban SLA	UC-1.17: Incident Comments — Thêm comment/ảnh bổ sung khi ticket chưa CLOSED; trao đổi 2 chiều giữa người báo và kỹ thuật viên
52	Sự Cố & Kanban SLA	UC-1.18: Double Confirmation — Sau khi sửa xong: người báo đánh giá 1-5 sao và xác nhận đóng ticket; nếu chưa đạt bấm làm lại; auto-close 48h
53	Sự Cố & Kanban SLA	UC-3.18: Master Ticket List — Tổng hợp ticket toàn trường; lọc trạng thái, khẩn cấp, vị trí, nhân viên; sắp xếp theo hạn định SLA
54	Sự Cố & Kanban SLA	UC-3.19: Dispatch Technician — Giao việc cho thợ điện/máy lạnh/máy tính; hiển thị workload số ticket đang nhận để tránh quá tải; reassign
55	Sự Cố & Kanban SLA	UC-3.20: Business Hours SLA — Tính giờ hành chính 07:30 - 17:00 ngày làm việc (đóng băng đêm/cuối tuần); Critical chạy 24/7 (<=4h); 3 cấp cảnh báo
56	Sự Cố & Kanban SLA	UC-3.21: Close Ticket Audit — Kiểm tra chi phí vật tư thay thế, xác nhận đóng ticket (CLOSED), đưa phòng/thiết bị về AVAILABLE
57	Vận Hành Bảo Trì	UC-4.1: Technician Inbox — Giao diện mobile/tablet cho thợ kỹ thuật; lọc trạng thái; đếm ngược SLA; badge đỏ cảnh báo quá hạn
58	Vận Hành Bảo Trì	UC-4.2: Accept Ticket — Xác nhận tiếp nhận; chuyển status ASSIGNED -> IN_PROGRESS; bắt đầu bấm giờ thực tế; gửi thông báo
59	Vận Hành Bảo Trì	UC-4.3: Progress & Parts Req — Ghi chú hiện trường, ảnh trước/sau sửa, % hoàn thành; lập phiếu yêu cầu xuất kho linh kiện thay thế
60	Vận Hành Bảo Trì	UC-4.4: Complete Repair — Báo cáo nghiệm thu kỹ thuật, vật tư đã dùng, chi phí nhân công, ảnh máy chạy tốt, chuyển RESOLVED
61	Vận Hành Bảo Trì	UC-4.5: Return/Reject Ticket — Trả lại ticket kèm lý do (thiếu đồ nghề đặc thù, sai mô tả, cần thuê ngoài) để quản lý điều phối lại
62	Vận Hành Bảo Trì	5-Step RACI Disposal Flow — B1 (Tech: R), B2 (CSVC: A), B3 (Hội đồng/BGH: A duyệt), B4 (Dự trù mua sắm: C), B5 (Thủ kho nhập mới: I)
63	Vận Hành Bảo Trì	UC-4.10: Room Maintenance History — Hiển thị dòng thời gian các đợt sửa chữa điện nước, điều hòa, bảo dưỡng định kỳ của phòng; tổng hợp chi phí vật tư
64	Vận Hành Bảo Trì	UC-4.11: Asset Maintenance History & MTBF — Thống kê số lần phát sinh sự cố, tổng chi phí sửa lũy kế, tính toán chỉ số R và dự báo tuổi thọ còn lại của máy
65	Bảo Trì Dự Phòng	UC-4.6: Preventive Calendar — Lịch bảo dưỡng điện lạnh, kiểm định máy chiếu, an toàn điện; cảnh báo trước 3 ngày trước khi đến hạn
66	Bảo Trì Dự Phòng	UC-4.7: Create Maint. Plan — Chọn nhóm phòng/thiết bị, chu kỳ (tháng/quý/năm), checklist kỹ thuật; đối chiếu không trùng lịch học
67	Bảo Trì Dự Phòng	UC-4.8: Log Maint. Result — Tick từng mục checklist, đánh giá Tốt / Cần theo dõi / Nguy cơ hỏng; nếu hỏng nặng tự tạo ticket sửa
68	Thanh Lý Tài Sản (RACI)	UC-4.9: Disposal Proposal — Khảo sát máy hỏng nặng, tính tỷ lệ R = (chi phí sửa / giá trị còn lại) * 100; nếu R >= 60% lập hồ sơ thanh lý
69	Xếp Lịch CSP & Phòng Thi	UC-5.1: Import Semester TKB — Upload Excel/CSV chứa mã LHP, môn, GV, sĩ số, số tiết, loại phòng; kiểm tra cú pháp, phát hiện trùng lặp
70	Xếp Lịch CSP & Phòng Thi	UC-5.2: CSP Auto Allocation — Thuật toán Backtracking + MRV/Degree Heuristic + LCV (hàm phạt lãng phí ghế + gom cụm tòa nhà khoa)
71	Xếp Lịch CSP & Phòng Thi	UC-5.3: Manual Drag & Drop — Giao diện kéo thả lớp vào ô lịch; highlight cảnh báo đỏ tức thì nếu thả vào ô trùng lịch hoặc thiếu ghế
72	Xếp Lịch CSP & Phòng Thi	UC-5.4: Export Timetable — Xem theo phòng, GV, khoa; xuất file Excel hoặc PDF bản in chính thức có logo trường
73	Xếp Lịch CSP & Phòng Thi	UC-5.5: Freeze Schedule — Đóng băng lịch toàn trường sau khi xếp xong; khóa cứng slot chính khóa, cấm SV/GV đặt đè; chỉ Đào tạo mở
74	Xếp Lịch CSP & Phòng Thi	UC-5.9: Exam Room Allocation — Chia đôi sĩ số phòng ngồi giãn cách; >= 2 giám thị/phòng; SV cùng lớp không cùng phòng trắc nghiệm; giãn cách 30p
75	Báo Cáo & Thống Kê BI	UC-5.10: Department Usage — Báo cáo số giờ giảng dạy, tỷ lệ tận dụng phòng Lab chuyên ngành của từng khoa để phân bổ ngân sách
76	Báo Cáo & Thống Kê BI	UC-3.22: Room Heatmap Report — Biểu đồ nhiệt theo giờ trong tuần (07:00 - 21:00), biểu đồ cột theo tòa nhà, xếp hạng phòng mượn nhiều nhất
77	Báo Cáo & Thống Kê BI	UC-3.23: Asset Status Report — Tỷ lệ thiết bị theo trạng thái hoạt động, danh sách thiết bị sắp hết bảo hành, nhóm máy hay hỏng nhất
78	Báo Cáo & Thống Kê BI	UC-3.24: SLA & MTTR Report — Thống kê số ticket theo tháng, thời gian xử lý trung bình MTTR, tỷ lệ hoàn thành đúng hạn SLA, sao đánh giá
79	Báo Cáo & Thống Kê BI	UC-3.25: PDF/Excel Exporter — Xuất báo cáo PDF/Excel chuẩn in ấn có tiêu đề trường, logo, timestamp, chữ ký duyệt phục vụ văn thư
80	Thông Báo & Tích Hợp	UC-1.19: In-app Notification — Trung tâm thông báo: duyệt đơn, sự cố cập nhật, nhắc nhở check-in trước 10 phút, cúp điện khẩn cấp; badge đỏ
81	Thông Báo & Tích Hợp	UC-1.20: Mark Notifications — Đánh dấu 1 hoặc tất cả thông báo đã đọc, cập nhật số lượng badge chưa đọc trên thanh điều hướng
82	Thông Báo & Tích Hợp	UC-7.1: SIS Sync Webhook — RESTful Webhook nhận dữ liệu lịch học tập trung từ hệ thống SIS (~100 lớp học phần), tự động thêm/sửa/hủy
83	Thông Báo & Tích Hợp	UC-7.2: Email Dispatcher — Gửi email HTML tự động qua Nodemailer (Ethereal/Gmail SMTP) có gắn logo trường, hỗ trợ gửi hàng loạt
84	Thông Báo & Tích Hợp	UC-7.3: SMS Emergency Mock — Dịch vụ mô phỏng gửi tin nhắn SMS Brandname đối với thông báo khẩn cấp (báo cháy, cúp điện toàn trường)
85	Quản Trị Người Dùng	UC-6.1: Create User — Nhập email/MSSV (unique), họ tên, SĐT, chọn vai trò; sinh mật khẩu ngẫu nhiên; gửi email kích hoạt tài khoản
86	Quản Trị Người Dùng	UC-6.2: User Directory — Phân trang danh sách user; filter theo Role, Khoa/Viện, Trạng thái (Active/Locked); tìm kiếm theo họ tên/MSSV
87	Quản Trị Người Dùng	UC-6.3: User Detail View — Xem thông tin tài khoản, lịch sử 10 lần login gần nhất, danh sách booking, đơn mượn thiết bị và ticket đã tạo
88	Quản Trị Người Dùng	UC-6.4: Update User Info & Role — Sửa thông tin, điều chỉnh vai trò; khi thay đổi role lập tức thu hồi toàn bộ JWT token hiện tại để áp quyền mới
89	Quản Trị Người Dùng	UC-6.5: Toggle User Status — Khóa/mở tài khoản (Active <-> Locked); khi khóa tự động hủy mọi booking tương lai; không xóa cứng bản ghi
90	Quản Trị Người Dùng	UC-6.6: Admin Reset Password — Sinh mật khẩu ngẫu nhiên an toàn; gửi thông báo mật khẩu tạm; gắn cờ bắt buộc đổi mật khẩu ở lần đăng nhập tới
91	Quản Trị Người Dùng	UC-6.7: Batch User Import — Upload file Excel > 1.000 dòng sinh viên/giảng viên; kiểm tra hợp lệ, chống trùng email; hiển thị Preview Grid trước khi import
92	Phân Quyền Ma Trận RBAC	UC-6.8: Roles Matrix View — Hiển thị ma trận 6 vai trò chuẩn và các vai trò tùy chỉnh; đếm số user đang gán; hiển thị danh sách permissions
93	Phân Quyền Ma Trận RBAC	UC-6.9: Create Custom Role — Nhập mã vai trò, tên, mô tả; chọn quyền từ cây phân quyền (Permission Tree) phân theo module nghiệp vụ
94	Phân Quyền Ma Trận RBAC	UC-6.10: Update Role Permissions — Tick/untick quyền; cảnh báo số lượng user bị ảnh hưởng; áp dụng thay đổi ngay cho các phiên đăng nhập tiếp theo
95	Phân Quyền Ma Trận RBAC	UC-6.11: Assign Roles to Users — Hỗ trợ gán vai trò đơn lẻ hoặc gán hàng loạt theo lớp/khoa; kế thừa quyền hạn theo mô hình RBAC chuẩn
96	Cấu Hình Hệ Thống	UC-6.12: Booking Policy Config — Cấu hình: số phòng tối đa/ngày theo Role (SV: 2, GV: 5), số tuần đặt trước (SV: 2, GV: 4), giờ mở/đóng cửa (06:00-22:00)
97	Cấu Hình Hệ Thống	UC-6.13: Escalation Threshold Config — Cấu hình 4 ngưỡng tự động leo thang: cờ trùng chính khóa, ngưỡng số phòng (>=3), giờ mượn đêm (>21h), giá trị máy (>50tr)
98	Cấu Hình Hệ Thống	UC-6.14: Notification Template Builder — Soạn thảo mẫu thông báo Email/In-app với placeholders động {{userName}}, {{roomCode}}, {{timeSlot}}, {{reason}}
99	Cấu Hình Hệ Thống	UC-6.15: Master Reference Data (CRUD) — Quản lý danh mục loại phòng (Lý thuyết, Lab máy tính, Hội trường), loại thiết bị, phân loại sự cố, tòa nhà, khoa viện
100	An Ninh & Kiểm Toán SHA-256	UC-6.16: Immutable Audit Trail — Ghi nhận nhật ký bất biến SHA-256 (prevHash -> sha256Hash) cho mọi thao tác đăng nhập, CRUD, duyệt đơn
101	An Ninh & Kiểm Toán SHA-256	Cryptographic Verification — Kiểm tra tính toàn vẹn của chuỗi băm SHA-256 từ khối genesis đến khối hiện tại; phát hiện ngay nếu bị sửa
102	An Ninh & Kiểm Toán SHA-256	UC-6.17: Audit Log Export — Xuất CSV/Excel nhật ký kiểm toán theo khoảng thời gian và đối tượng tác động (tối đa 10.000 dòng/lần)
103	Giám Sát Hệ Thống	UC-6.18: System Health Monitor — Dashboard giám sát số user online, số request API/phút, RAM/CPU máy chủ, số ticket mở, cảnh báo SLA vi phạm
